机型数据,数量
appleipadpro2024款m4芯片新款苹果平板电脑13英寸256gb无线局域网机型,7
appleiphone16pro【首月1元】128gb,16
apple全新iphone15promax顺丰包邮5g全网通钛合金金属边框256gb,1
appleiphone16全新仅激活【首月1元】512gb,1
apple首月1元iphone16pro国行正品顺丰包邮租机免审当天发货256gb,1
apple/苹果资商通-iphone15pro256gb,9
vivovivox200promini微粉16+512g,6
荣耀荣耀100pro莫奈紫16+256g,1
华硕华硕天选4i7-13620h/16g/512gssd/rtx40506g独显/144hz/100%srgb/魔幻青,2
appleiphone16pro原色钛金属1t,1
荣耀荣耀200pro月影白16+512g,1
小米redmik7016+512g,1
苹果iphone15128g,23
华为华为pura70ultra16+512g,5
苹果iphone15pro256g,21
vivovivox100spro16+512g,1
小米redmik70至尊版12gb+512gb,2
vivovivox200辰夜黑12+512g,1
荣耀荣耀90gtgt蓝16+256g,1
荣耀荣耀x60月影白8+128g,4
荣耀荣耀magicv3丝路敦煌16+512g,1
vivovivox200promini钛青16+512g,7
红米红米note14pro+子夜黑12+512g,3
华硕华硕天选5pro日蚀灰i7-13650hx/16g/1t/rtx4050/16英寸,2
vivovivox200辰夜黑16+1t,1
vivovivox200pro12+256g宝石蓝,3
oppooppofindx8pro晴空航线16+512g,7
荣耀荣耀平板9pro天青色8gb+256gb,1
华为华为pura7012+512g卫星通信版公开加锁版雪域白,3
荣耀荣耀x60海湖青12+512g,2
apple首月1元iphone16pro国行正品现货速发顺丰包邮256gb,2
apple苹果applemacbookair2024年（m3芯片）办公游戏剪辑笔记本电脑13英寸8+512gb,1
小米（mi）redmik70高通骁龙8gen2澎湃os12gb+512gb,2
联想(lenovo)联想拯救者r9000p学生电竞游戏r9-7945hx16g1tssd4060-8g显卡,2
appleapple?watchseries?10橡胶表带国行正品智能手表46毫米gps版s/m,1
oppooppofindx8追风蓝12+256g,6
oppooppofindx8气泡粉16+512g,7
荣耀荣耀x60pro玄武灰12+512g,6
oppooppofindx8追风蓝16+512g,6
oppooppofindx8浮光白16+512g,7
华为华为matebooke2023i5-1230u/16g/1t/锐炬xe/12.6英寸/原野绿键盘星云灰,1
vivovivoiqooneo9spro红白魂16+512g,1
荣耀荣耀200绒黑色16+512g,1
荣耀荣耀x60pro典雅黑8+256g,2
oppooppofindx8浮光白16+1t,2
apple首月1元iphone16promax现货速发顺丰包邮256gb,159
荣耀荣耀magicvflip香槟粉12+1t,1
荣耀荣耀magicvs3绒黑色12+512g,1
荣耀荣耀x60pro玄武灰8+128g,7
oppooppofindx8气泡粉12+512g,3
oppooppofindx8追风蓝12+512g,1
荣耀荣耀90gtgt蓝24+1t,1
荣耀荣耀x60pro典雅黑8+128g,5
oppooppofindx8星野黑16+512g,7
荣耀荣耀x60pro天海青8+128g,4
华硕华硕a豆14air2024r7-8845h/32gb/1tb/集显/14英寸/2.8k/120hz瑰蜜粉金,1
华为matepadpro2024款12gb+256gbwifi版曜金黑,2
apple首月1元iphone16pro全新国行正品现货速发顺丰包邮256gb,4
华为华为nova13羽砂紫256g,2
华为华为nova13pro羽砂白256g,3
oppooppopad3pro12.1英寸夜幕蓝wifi8gb+256gb,2
vivovivox200pro16+512g,3
荣耀荣耀magicvflip山茶白12+1t,1
华为华为nova13pro羽砂紫512g,1
appleiphone16【首月1元】256gb,2
华为（huawei）华为nova12前置6000万4k超广角人像8gb+256gb,2
appleiphone16promax256g,7
华为华为nova13星耀黑256g,3
oppok10x8+128g,13
appleiphone16promax512g,5
appleiphone16pro256g,1
华为华为matepadair12英寸2024款12英寸草木绿wifi12gb+256gb柔光版,1
红米红米k70至尊版12+512g专属版冰璃蓝,1
oppooppopad3pro12.1英寸wifi16gb+1tb夜幕蓝,1
vivovivoiqoo1316+512g赛道版,11
小米小米1516+512g白色,19
vivovivox200辰夜黑12+256g,3
vivovivox20012+256g宝石蓝,4
oppooppofindn3flip月光缪斯12+256g,1
小米小米1512+256g黑色,7
荣耀荣耀平板9pro12gb+256gb星空灰,1
vivovivox200promini简黑16+1t,2
魅族魅族lucky08星耀白12+256g,1
vivovivox200白月光12+256g,14
苹果iphone16128g,19
华为华为mate60pro12gb+1tb,1
荣耀荣耀x60pro燃橙色8+128g,3
小米小米15pro16+1t白色,20
appleiphone16promax全新国行正品信用免押顺丰包邮256gb,3
apple全新iphone15promax5g全网通钛合金金属边框512gb,1
appleiphone16【首月1元】128gb,3
vivovivoiqoo1316+512g传奇版,29
vivovivoiqoo13纳多灰16+256g,8
荣耀（非手机）荣耀手表4云水蓝,1
荣耀荣耀x60pro典雅黑12+256g,3
vivovivox100spro钛色钛色专属版专属版16+512g16+512g,1
小米小米1516+512g黑色,12
华为华为nova13pro羽砂白512g,3
荣耀荣耀magic7pro月影灰16+512g,13
荣耀荣耀x60i珊瑚紫8+256g,2
oppooppofindx8pro漫步云端12+256g,3
vivovivox200钛色12+512g,1
荣耀荣耀x60pro天海青12+512g,3
华为华为matepadse11英寸2024款wifi8gb+128gb活力版星云灰,4
小米小米1512+256g白色,12
荣耀荣耀magic7pro月影灰12+256g,8
小米小米1516+1t白色,4
小米小米1512+512g黑色,2
小米小米15pro12+256g白色,9
华为华为nova13pro羽砂紫256g,1
vivovivox200promini钛青12+256g,2
vivovivox200pro辰夜黑16+1t,5
vivovivox200promini直白12+256g,6
荣耀荣耀x60pro燃橙色12+256g,5
荣耀荣耀平板x86gb+128gb曙光蓝,1
小米小米pad7pro11.2英寸青衫绿wifi8gb+256gb,1
荣耀荣耀平板912gb+512gb天青色,1
vivovivox200promini简黑12+256g,1
vivovivos19pro12+256g,2
苹果iphone16plus256g,2
华为华为mate60pro12gb+512gb,22
小米小米15pro16+512g白色,14
vivovivox100s16+512g,1
华为华为nova12活力版512g,1
荣耀荣耀magic7pro月影灰16+1t,6
小米小米15丁香紫12+256g,3
applemacbookair2022款m2/8+8核/8g+256g13.6英寸午夜色,1
小米小米15pro云杉绿16+512g,12
小米小米15pro岩石灰12+256g,4
appleappleipadmini2024款8.3英寸wifi版256g蓝色,1
oppooppopad3pro12.1英寸晨曦金wifi16gb+512g,1
appleapplewatchseries?9午夜色运动型表带s/m铝金属表壳蜂窝+gps版41mm,2
小米小米15丁香紫16+512g,2
小米小米15pro亮银版16+1t,2
华为华为watch3pro48mm-时尚款棕色真皮表带,2
macbookmacbook99新2022款macbookair13寸（m2芯片）8g+512g,1
华为华为matepadse11英寸2024款wifi8gb+256gb星云灰,2
appleappleipadmini2024款8.3英寸深空灰色wifi版512g,1
apple首月1元iphone16pro全新国行正品现货速发顺丰包邮512gb,4
华硕华硕灵耀142024ultra9185h/32g/1tb/锐炫/14英寸冰川银,1
vivovivoiqoo13纳多灰16+512g,5
applemacbookair2022款m2/8+8核/8g+256g13.6英寸银色,1
appleapplewatchultra2s/m绿配灰色野径回环式表带钛金属表壳49mm蜂窝+gps版,1
三星galaxyzfold612gb+512gb,1
apple苹果15pm手表组合装256gb,3
appleiphone16pro全新国行正品信用免押顺丰包邮256gb,2
华为华为matepadair12英寸2024款12英寸烟云灰wifi8gb+256gb,3
苹果严选iphone1264g,5
华为华为matebookego16gb+512gbwifi星云灰,1
苹果首月5折iphone16promax租物专享256g,40
苹果首月1元iphone15promax新人专享256g,2
苹果iphone16promax全新国行正品非监管机512g,774
华为华为matepadpro11英寸2024款星河蓝wifi12gb+256gb,1
华为matepadpro2024款晶钻白12gb+256gbwifi版,1
appleappleipadmini2024款8.3英寸蜂窝版256g蓝色,1
vivovivox200pro钛色16+1t卫星通信版,1
苹果iphone16promax全新国行正品非监管机256g,2392
苹果严选iphone11pro64g,3
oppooppopad3pro12.1英寸晨曦金wifi12gb+256gb,1
oppooppofindx8pro漫步云端12+512g,4
一加一加13黑曜秘境16+512g,6
vivovivox200pro16+1t卫星通信版宝石蓝,3
华为华为matepadpro2023款12gb+512gbwifi版13.2英寸晶钻白,1
appleapplewatchseries?9亮粉色运动型表带s/m铝金属表壳蜂窝+gps版41mm,1
华为华为pura70公开加锁版冰晶蓝12+512g,1
荣耀荣耀magic7pro雪域白16+1t,2
oppooppofindx8pro漫步云端16+512g,4
小米小米pad7pro11.2英寸wifi12gb+256gb黑色,1
oppooppofindx8星野黑12+512g,1
小米小米watchs4esim版47mm,1
一加一加13白露晨曦16+512g,1
appleapplemacbookpro2024款m4/10+10核/16g+1tb/2v3（24年款）深空黑14英寸,1
华为华为nova13pro星耀黑512g,2
oppooppofindx8气泡粉12+256g,5
小米小米手环9pro43mm黑色,1
苹果iphone16pro128g,8
华为华为pocket212gb+512gb,2
vivovivoiqooz912+256g,1
vivovivoiqoo1316+512g,8
oppooppofindx812+256g,7
oppooppofindx8无影抓拍超轻薄直屏手机16gb+512gb,1
appleapple?watchseries?10橡胶表带国行正品智能手表42毫米gps版s/m,1
华为（huawei）huaweipura70超高速风驰闪拍第二代昆仑玻璃双超级快充12gb+512gb,2
appleairpods4全新国行通过率高airpods4,1
apple全新applewatchseries9国行正品顺丰发货45毫米gps+蜂窝网络版s/m,1
华为（huawei）huaweimate60pro遥遥领先智能手机12gb+512gb,2
华硕华硕无畏162023i5-13500h/16g/512g/锐炬xe/星辰银,1
苹果全新苹果全新苹果/5g/256g,2
apple长租测试商品64g,1
联想联想小新pro142024天青蓝r7-8845h/32g/1t/集显/14英寸,1
华为huaweimatebook142024款ultra5/32gb/1tb皓月银,1
oppooppofindx8浮光白12+256g,6
oppooppofindx8pro晴空航线12+512g,1
苹果iphone16promax首月1元256g,660
苹果首月5折iphone15promax租物专享256g,3
华为华为matebook16s2023i7-13700h/32g/1t/锐炬xe/触屏/16英寸深空灰,1
苹果iphone16promax租物专享256g,66
苹果首月1元iphone16promax租物专享256g,65
苹果iphone15promax首月1元秒审秒发随租随还256g,4
苹果iphone16pro首月1元256g,21
苹果iphone16promax首月1元512g,205
苹果iphone16租物专享128g,1
苹果iphone16pro全新国行正品非监管机256g,49
苹果iphone16pro全新国行正品非监管机128g,4
苹果全新iphone16promax租物满减256g,41
苹果首月1元iphone16pro新人专享256g,2
苹果iphone16首月1元128g,2
iphone16iphone16promax256g,56
oppooppofindx8星野黑12+256g,6
appleappleipadmini2024款8.3英寸蜂窝版256g紫色,1
applemacbookair2024款m3/8+10核/8g+256g15.3英寸星光色,2
iphone16iphone16pro512g,9
appleapplemacbookpro2024款m4max/16+40核/48g+1tb/313（24年款）深空黑16英寸,1
华为华为matepadse11英寸2024款wifi8gb+128gb星海蓝,1
华为华为matepadair12英寸2024款12英寸烟云灰wifi12gb+512gb柔光版,1
苹果严选iphone1164g,5
iphone16iphone16pro128g,33
荣耀荣耀平板98gb+128gb天青色,1
iphone16iphone16pro256g,51
appleappleipadmini2024款8.3英寸深空灰色wifi版256g,2
oppooppopad3pro12.1英寸夜幕蓝wifi12gb+256gb,1
oppooppofindx8浮光白12+512g,6
appleappleipadmini2024款8.3英寸深空灰色wifi版128g,1
小米小米pad711.2英寸wifi12gb+256gb柔光版黑色,1
苹果iphone16proiphone16pro,3
苹果iphone16promaxiphone16promax,18
appleappleipadmini2024款8.3英寸wifi版128g蓝色,1
华硕华硕a豆142022i5-12450h/16g/512gssd/集显星际银海14英寸,1
小米小米pad711.2英寸天际蓝wifi8gb+128gb,1
华为华为matepadair12英寸2024款12英寸羽砂白wifi12gb+256gb,1
华硕华硕rog幻14air2024r9-8945hs/16gb/1tb/rtx4050/14英寸/2.8k/120hz铂月白,1
荣耀荣耀magic7雪域白12+256g,3
appleapplewatchseries10亮黑色铝金属表壳黑色运动型表带-m/lgps46mm,1
appleapplewatchseries?9午夜色运动型表带m/l铝金属表壳41mmgps版,1
华为华为nova13pro256g,1
vivovivoiqoo1312+256g,3
小米小米1516+512g,9
华为华为pura70pro+16+512g,2
苹果iphone16promax芝麻推广256g,14
苹果iphone16promax芝麻推广512g,10
苹果东恒创出单测试256gb,12
荣耀（honor）荣耀magic7pro5g智能手机ai高通骁龙8至尊版12gb+256gb,1
华硕华硕天选5pro游戏笔记本电脑r9-794016g1t4060-8g显卡,1
小米（mi）xiaomi14pro徕卡可变光圈镜头16gb+512gb,1
苹果iphone16promax官方正品iphone16promax官方正品/全网通/512g,572
苹果iphone16pro首月1元128g,2
苹果iphone16promax首月1元活动专享256g,5
苹果iphone16全新国行正品非监管机128g,9
苹果iphone16全新国行正品非监管机256g,3
appleappleipadmini2024款8.3英寸wifi版128g紫色,1
苹果测试东恒创256gb,2
苹果首月1元iphone16pro租物专享256g,2
努比亚（nubia）努比亚红魔10pro+暗夜骑士16+512g,3
小米小米1516+1tb,1
小米小米1512+512g,2
一加一加1312+512g,2
oppooppofindx8pro星野黑12+256g,4
vivovivox200pro12+256g,5
oppooppofindx816+512g,4
苹果全新iphone16promax国行正品全新iphone16promax国行正品/全网通/256g,226
苹果首月1元iphone15promax快速审核高通过率首月1元iphone15promax快速审核高通过率/5g全网通/256g,90
苹果iphone16promax官方正品iphone16promax官方正品/全网通/256g,738
苹果iphone16pro国行正品iphone16pro国行正品/全网通/256g,42
苹果全新iphone16promax国行正品全新iphone16promax国行正品/全网通/512g,101
苹果iphone16proiphone16pro/全网通/256g,144
苹果首月1元iphone15promax快速审核高通过率首月1元iphone15promax快速审核高通过率/5g全网通/512g,19
苹果iphone16proiphone16pro/全网通/1t,2
苹果iphone16proiphone16pro/全网通/128g,85
苹果iphone15pro快速审核高通过率iphone15pro快速审核高通过率/5g全网通/128g,12
苹果iphone16proiphone16pro/全网通/512g,2
苹果iphone15pro快速审核高通过率iphone15pro快速审核高通过率/5g全网通/256g,17
苹果iphone15plus（专区专享）iphone15plus（专区专享）/5g全网通/256g,2
苹果iphone16promax官方正品iphone16promax官方正品/全网通/1t,53
苹果iphone16国行正品iphone16国行正品/全网通/256g,14
苹果iphone16pro国行正品iphone16pro国行正品/全网通/128g,15
苹果iphone16国行正品iphone16国行正品/全网通/128g,7
苹果iphone16pro国行正品iphone16pro国行正品/全网通/512g,26
苹果iphone16官方正品国行iphone16官方正品国行/全网通/128g,3
苹果首月1元iphone15promax快速审核高通过率首月1元iphone15promax快速审核高通过率/5g全网通/1t,1
华为（huawei）huaweimatepadair12英寸2024款平板电脑2.8k高清大屏wifi12gb+256gb,1
appleapple?watchseries?10橡胶表带国行正品智能手表42毫米gps版m/l,1
苹果iphone16promax首月1元非监管机随租随还256g,176
苹果iphone16promax256gb,91
苹果iphone14promax128gb,2
苹果iphone16pro128gb,10
苹果iphone14promax256g,14
苹果iphone16256gb,13
苹果iphone15plus256g,5
苹果iphone16promax512gb,23
oppooppofindn312gb+512gb,2
小米小米15pro16+512g,7
苹果首月1元iphone15快速审核高通过率首月1元iphone15快速审核高通过率/5g全网通/128g,1
苹果iphone16pro国行正品iphone16pro国行正品/全网通/1t,3
苹果iphone16plus国行正品iphone16plus国行正品/全网通/128g,2
苹果iphone16pro256gb,17
oppooppofindx8pro星野黑16+1t,1
oppo联想拯救者r9000p拯救者r9000p2023r9-7945hx16g1tssdrtx4060灰,6
苹果iphone14promax256gb,1
oppo华硕天选5profx607i7-13650hx16g/5124060-8g165h2.5k青天选5pro,2
苹果iphone16128gb,21
苹果iphone15pro256gb,10
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存32g硬盘1t显卡4060ti（海景房机箱）,3
苹果iphone13promax128g,1
小米小米1512+256g,5
vivovivox200pro16+1tb,1
小米小米14pro12+256g,1
小米红米k8012gb+256gb,6
苹果iphone15promax芝麻租物256g,1
苹果首月1元iphone16promax新人专享256g,94
苹果首月1元iphone15promax租物专享256g,1
苹果iphone16promax全新256g,1
苹果iphone14pro256gb,1
华为华为matebook16screfg-32i9-13900h32g/1ts集触控2.5k屏-灰,1
苹果iphone14pro128gb,2
苹果iphone16国行正品iphone16国行正品/全网通/512g,1
苹果iphone16promax国行正品iphone16promax国行正品/全网通/256g,177
苹果iphone16promax国行正品iphone16promax国行正品/全网通/512g,108
苹果iphone15promax官方正品顺丰包邮iphone15promax官方正品顺丰包邮/5g全网通/256g,39
苹果iphone15promax官方正品顺丰包邮iphone15promax官方正品顺丰包邮/5g全网通/512g,16
华为（huawei）huaweimatepadpro12.2英寸2024新款平板电脑wifi12gb+512gb,2
appleapplewatchultra22024版s9智能手表49毫米gps+蜂窝网络版m/l,3
appleapple?watchseries?10橡胶表带国行正品智能手表46毫米gps+蜂窝网络版m/l,2
小米（mi）xiaomi15pro小米徕卡联合研发高通骁龙8至尊16gb+512gb,5
oppo联想拯救者y7000/y7000p拯救者y70002024i7-13650hx24g512grtx4060-8g144hz,2
oppo联想拯救者y7000/y7000py7000p2024i7-14650hx16g1trtx40602.5k165hz,3
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,1
苹果iphone16plus128gb,3
vivoiqooneo9spro16gb+512gb,1
苹果iphone15512g,2
华为华为pura7012gb+512gb,13
苹果iphone13128g,1
苹果iphone13promax256g,2
荣耀荣耀magic716+512g,3
小米小米14ultra16+512g,1
iphone16iphone16128g,15
oppo华硕灵耀x13/灵耀13灵耀x13um5302r7-6800u16g512集夜蓝色2.8k,1
小米小米15pro16+1tb,2
oppooppofindx8pro12+256gb,1
苹果iphone14promax128g,2
oppo联想拯救者y7000/y7000py7000p2024i7-14700hx16g1trtx40602.5k165hz,2
荣耀荣耀x50gt12gb+256gb,2
华为华为huaweipura70pro12gb+512gb,6
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,8
荣耀荣耀20012gb+256gb,2
苹果iphone14pro128g,1
vivoiqooz9turbo16gb+512gb,1
iphone15iphone15pro128g,6
iphone15iphone15promax256g,9
苹果首月1元iphone15pro新人专享128g,1
苹果首月1元iphone16promax新人专享512g,76
苹果iphone15promax租物专享256g,3
苹果iphone16promax首月1元非监管机随租随还512g,200
苹果iphone16promax首月1元活动专享512g,1
appleapple?watchseries?10橡胶表带国行正品智能手表42毫米gps版m/l,1
appleapple?watchseries?10橡胶表带国行正品智能手表46毫米gps版m/l,1
华为pura70pro12+512g,5
华为pura7012+512g,9
华为pura70pro12+256g,3
iphone16iphone16promax512g,3
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-10400f内存16g硬盘512g显卡2060（普通机箱）,3
小米小米1512+512gb,1
oppo酷睿i5/i7电脑主机i5-10400f内存16g硬盘512grtx1050ti/4g独显,1
华为华为pura70pro12gb+512gb,1
苹果iphone15promax256gb,12
苹果iphone13promax256gb,1
oppo22款ipadpro11英寸/128g/wifi版,8
真我realme真我gt7pro16+512gb,3
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i3-12100f内存16g硬盘512g显卡2060（普通机箱）,2
oppo22款ipadpro11英寸/256g/wifi版,4
一加一加ace3pro16gb+256gb,1
oppooppofindx816+256g,3
oppooppofindx8pro无影抓拍潮汐引擎ai一键问屏拍照手机16gb+1tb卫星通讯版,1
vivovivox200pro闪充拍照全新手机16gb+512gb,2
vivovivox200pro闪充拍照全新手机12gb+256gb,1
oppo联想拯救者r9000p拯救者r9000p2023r9-7945hx16g1tssdrtx4060白,4
小米红米turbo316gb+1tb,1
oppooppofindx812+512gb,1
真我真我gtneo612gb+256gb,2
华为华为mate7012+512gb,8
三星三星galaxys2412gb+256gb,1
华为华为huaweimate60pro12gb+512gb,1
荣耀荣耀magic7pro16+1tb,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12600kf内存32g硬盘1t显卡4060ti水冷（海景房机箱）,3
华为华为mate7012+256gb,7
苹果iphone16plus国行正品iphone16plus国行正品/全网通/512g,1
苹果iphone16promax全新正品非监管机256g,7
苹果iphone16pro全新国行正品非监管机512g,37
苹果iphone16promax全新正品非监管机512g,1
appleiphone16promax现货速发顺丰包邮512gb,3
appleiphone16promax现货速发顺丰包邮256gb,4
oppo华硕天选4fa507r7-7435h16g/512g4060-8g144h灰天选4,1
一加一加1216+1tb,1
苹果iphone16promax99新256gb,1
荣耀荣耀x50gt16gb+512gb,1
苹果东恒创出单测试128g,2
小米红米k8016gb+256gb,2
荣耀荣耀magic6pro16g+512g,1
荣耀荣耀magic7pro16+512g,5
华为华为pura70ultra16+1tb,2
华为华为nova11se512g,1
oppooppok12x12+256g,2
真我realemgt7pro16gb+1tb,1
华为华为mate60pro12gb+256gb,2
苹果东恒创出单测试2128g,2
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存32g硬盘1t显卡4060水冷（海景房机箱）,5
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,4
vivovivox200pro16gb+1tb（普通版）,1
一加一加ace316gb+512gb,1
小米红米k7012+256g,1
iphone16iphone16plus128g,1
苹果首月1元iphone15快速审核高通过率首月1元iphone15快速审核高通过率/5g全网通/256g,1
苹果iphone15pro（专区专享）iphone15pro（专区专享）/5g全网通/256g,1
苹果iphone15pro快速审核高通过率iphone15pro快速审核高通过率/5g全网通/512g,2
荣耀荣耀x50gt16gb+256gb,1
oppo机械革命蛟龙16pro机械革命蛟龙16pro16.0寸r7-7745hx16g/5124060-8g165hz2.5k白,1
oppo22款ipadpro11英寸/256g/wifi版+三代苹果笔,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i7-12700f内存32g硬盘1t显卡4070水冷（海景房机箱）,2
小米小米15pro12+256g,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12400f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i7-12700f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,4
oppo华硕天选4fa507r7-7435h16g/512g4050-6g144h灰天选4,1
华为华为mate7012gb+256gb,4
apple首月1元iphone16pro全新国行正品现货速发顺丰包邮128gb,1
苹果iphone16pro芝麻推广512g,1
苹果首月1元iphone15pro新人专享256g,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-12600kf内存32g硬盘1t显卡4070水冷（海景房机箱）,4
苹果iphone15128gb,4
vivovivox200pro16gb+512gb,1
oppo3050/3060全新电竞台式机（30天起租）i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,2
华为华为matebookd14mdf-16i5-1240p16g/512集,2
oppo21款/24款小新pro14长租推荐全新24款小新pro14/r7-8745h/24g/1t/2.8k/120hz灰,2
苹果iphone15pro128gb,4
vivoiqooneo9spro12gb+256gb,1
vivovivos2012+256g,3
oppo30系列短租电竞台式机i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,1
oppo联想拯救者y7000/y7000py7000p2024i7-14650hx16g1trtx40502.5k165hz,1
华为华为matebookd16rlefg-16i7-13700h16g/1ts集,1
oppo联想拯救者y7000/y7000py7000p2024i7-14700hx16g1trtx40702.5k165hz,1
苹果iphone16512gb,2
苹果iphone16pro全新国行顺丰包邮消费圈专享256g,4
苹果iphone16promax全新国行顺丰包邮消费圈专享256g,4
oppo酷睿i5/i7低中高端式电脑主机i5-12400f内存32g硬盘1t显卡4060ti（海景房机箱）,1
oppo30系列短租电竞台式机i5-13600kf内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
oppo30系列短租电竞台式机i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,2
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-10400f内存16g硬盘512g显卡3050（普通机箱）,1
oppo华硕天选5fa507r9-8945h16g/1ts4060-8g165h2.5k青天选5,1
oppo中高端电竞游戏台式电脑i5-十一代16g内存240g固态gtx16604g显卡流畅热门游戏,1
oppooppofindx7ultra16gb+256gb,1
小米小米1516+1t,1
苹果iphone16pro512gb,2
荣耀荣耀magic716+1tb,1
荣耀荣耀magic7pro12+256gb,1
真我realme真我gt7pro16gb+256gb,1
真我realme真我gt7pro12+512gb,2
oppo酷睿i5/i7低中高端式电脑主机i5-13600kf内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
oppo30系列短租电竞台式机i3-12100f内存16g硬盘512g显卡2060（普通机箱）,1
oppo酷睿i5/i7低中高端式电脑主机i5-12400f内存16g硬盘512g显卡2060（普通机箱）,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i5-13400f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
苹果iphone15promax512gb,1
oppo21款/24款小新pro14thinkpad四代/i5/8g/256g/集显办公,1
oppo30系列短租电竞台式机i7-12700f内存32g硬盘1t显卡4070水冷（海景房机箱）,2
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i7-12700f内存32g硬盘1t显卡3060（海景房机箱）,1
oppo22款ipadpro11英寸/128g/wifi版+三代苹果笔,1
华为华为nova12256g,1
oppo30系列短租电竞台式机i7-12700f内存32g硬盘1t显卡4060水冷（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）i7-12700f内存32g硬盘1t显卡4060ti（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,1
vivovivoiqoo1316gb+512gb,1
苹果首月1元iphone16租物专享256g,1
苹果iphone16pro首月1元512g,11
苹果iphone16首月1元256g,4
苹果东恒创出单测试[监管]128g,6
苹果东恒创出单测试[非监管]128g,1
华为（huawei）huaweimate70新款纯血鸿蒙超可靠玄武架构12gb+512gb,2
oppo一加ace5新款游戏性能手机ai智能5g16gb+512gb,1
appleapplewatchultra22024版s9智能手表49毫米gps+蜂窝网络版s/m,1
appleiphone16promax全新国行正品信用免押顺丰包邮512gb,1
oppo华硕天选5pro[非监管]fx607i7-13650hx16g/1ts4060-8g165h2.5k灰天选5pro,2
苹果iphone16[非监管]256gb,12
oppo22款ipadpro[监管]11英寸/128g/wifi版,11
华为华为matebook14[非监管]短租推荐/95新华为14/十代i5/8g/512g/mx250,2
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i7-12700f内存32g硬盘1t显卡4070（海景房机箱）,6
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12600kf内存32g硬盘1t显卡4060ti（海景房机箱）,4
华为华为mate70[非监管]12+256gb,3
真我realme真我gt7pro[非监管]16gb+256gb,1
oppo21款/24款小新pro14[非监管]thinkpad四代/i5/8g/256g/集显办公,28
真我realme真我gt7pro[非监管]16+512gb,5
真我realme真我gt7pro[非监管]12gb+256gb,2
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,13
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,27
oppo22款ipadpro[非监管]11英寸/128g/wifi版,3
vivovivoiqooz9turbo+16+256g,2
华为华为mate7012gb+512gb,10
一加一加1216+512g,1
荣耀荣耀30012gb+256gb,2
appleipad（第十代）无线版全新正品顺丰包邮64gb无线局域网机型,1
苹果东恒创出单测试2[监管]128g,3
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i7-12700f内存32g硬盘1t显卡4070水冷（海景房机箱）,10
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060水冷（海景房机箱）,36
华为华为擎云g540/s540[非监管]华为擎云s540-5651sp银i5-1240p16g/512g集--银,1
oppo联想拯救者r7000/r7000p[非监管]拯救者r7000p2024r7-8845h16g1trtx4060灰165hz,5
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060ti（海景房机箱）,6
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,6
